judge,artist,album,vote
E11,莫宰羊,幻想曲,0
E11,倒车入库,庸人自扰,0
E11,Ice Paper,成语接龙,0
E11,梁静茹,我好吗? - 太阳如常升起,0
E11,家家,我想要的,0
E11,短裤里的诗歌,我还喜欢你,0
E11,许廷铿,拾,0
E11,鬼卞,无间,0
E11,刘柏辛,无限意识Meta Ego,0
E11,鲁向卉,时间/木马,2
E11,AR刘夫阳,校园寓言故事,0
E11,熊仔/豹子胆,梦想成真,0
E11,橘子海,浪潮上岸,0
E11,苏紫旭,混乱之子,0
E11,脏手指,滥情三部曲,0
E11,百合花,烧金蕉,0
E11,王若琳,爱的呼唤,0
E11,郑宜农,给天王星,0
E11,邱比,至繁,0
E11,发光曲线,荒野星,3
E11,魏如萱,藏着并不等于遗忘,8
E11,伍佰&China Blue,让水倒流,0
E11,杨乃文,越美丽越看不见,0
E11,郁可唯,路过人间,0
E11,群星,过春天 电影原声碟,0
E11,懒惰致富集团,飞艇计划,0
E11,陈蕾,1029,0
E12,佛跳墙,BJ肆,0
E12,Robynn & Kendy,Curations,0
E12,吉克隽逸,Global Citizen世界公民Ⅲ,1
E12,陈珊妮,Juvenile A,0
E12,缺省,Life In A Vacuum,0
E12,小尘埃,Little By Little,0
E12,邓小巧,No Coincidence,0
E12,Gong Gong Gong 工工工,Phantom Rhythm 幽灵节奏,0
E12,威神V WayV,Take Off (The 1st Mini Album),0
E12,谢安琪/麦浚龙,The Album And The Rest Of It,0
E12,粉红A,为艺术牺牲,0
E12,丢莱卡,健忘的平原,0
E12,全家福合唱团,全家福II,0
E12,养鸡,养鸡的梦境,0
E12,小老虎,北京吗,0
E12,张雄关,危险地带,0
E12,宫阁,即将上映,1
E12,傻子与白痴,夜长梦少,0
E12,Howie Lee,天地不仁,0
E12,吴青峰,太空人,1
E12,许哲佩,失物之城,0
E12,丁世光,实况电影,1
E12,周华健,少年,0
E12,莫宰羊,幻想曲,0
E12,倒车入库,庸人自扰,0
E12,Ice Paper,成语接龙,0
E12,梁静茹,我好吗? - 太阳如常升起,1
E12,家家,我想要的,0
E12,短裤里的诗歌,我还喜欢你,0
E12,许廷铿,拾,0
E12,鬼卞,无间,0
E12,刘柏辛,无限意识Meta Ego,5
E12,鲁向卉,时间/木马,1
E12,AR刘夫阳,校园寓言故事,0
E12,熊仔/豹子胆,梦想成真,1
E12,橘子海,浪潮上岸,6
E12,苏紫旭,混乱之子,0
E12,脏手指,滥情三部曲,0
E12,百合花,烧金蕉,0
E12,王若琳,爱的呼唤,3
E12,郑宜农,给天王星,3
E12,邱比,至繁,0
E12,发光曲线,荒野星,0
E12,魏如萱,藏着并不等于遗忘,3
E12,伍佰&China Blue,让水倒流,0
E12,杨乃文,越美丽越看不见,1
E12,郁可唯,路过人间,2
E12,群星,过春天 电影原声碟,0
E12,懒惰致富集团,飞艇计划,0
E12,陈蕾,1029,0
E13,佛跳墙,BJ肆,0
E13,Robynn & Kendy,Curations,0
E13,吉克隽逸,Global Citizen世界公民Ⅲ,0
E13,陈珊妮,Juvenile A,1
E13,缺省,Life In A Vacuum,0
E13,小尘埃,Little By Little,0
