judge,artist,song,vote
D5,吴青峰,水仙花之死,0
D5,告五人,爱人错过,2
D5,周华健,少年,0
D5,唐汉霄/周深,末日飞船,0
D5,好妹妹,云野,0
D5,安溥 anpu,ZOEA,0
D5,宋念宇,默念你,0
D5,宝石Gem,野狼Disco,0
D5,宫阁,夕阳·日落,0
D5,家家/方大同,在家里,2
D5,巧克力工厂Chocolate Factory,大肚子飞行员,0
D5,张艺兴,honey,0
D5,方皓玟,人话,0
D5,方皓玟,愿,0
D5,无妄合作社,在围城时与你失散,0
D5,曾轶可,雌雄同体,0
D5,曾轶可,水的记忆,0
D5,李亮辰,渡河,0
D5,李靖筠,第三颗行星,0
D5,杨乃文,在爱和你之间,0
D5,杨乃文/许钧,不再,2
D5,林二汶,最后的信仰,1
D5,林俊杰,将故事写成我们,0
D5,林宥嘉,别让我走远,1
D5,梁静茹,太阳如常升起 I,0
D5,梁静茹,我好吗,1
D5,椅子乐团,城市潜水,3
D5,橘子海,夏日漱石,2
D5,法兹乐队FAZI/海朋森,你把我的脸庞转向明天,0
D5,海朋森,草莓,0
D5,灭火器,双城记,1
D5,焦迈奇,我的名字,0
D5,焦迈奇,松鼠,0
D5,爱是唯一,Darling,0
D5,爱是唯一,Sunshine,0
D5,王若琳,我只在乎你,3
D5,王诗安,太空农场,0
D5,白纸扇,东莞,0
D5,百合花,一枝草,3
D5,祁紫檀,这世上美的事物总让人心碎,0
D5,粉红A,香港香港,0
D5,自闭电台,寻找小羊,0
D5,脏手指,滥情三部曲,0
D5,苏紫旭&The Paramecia,爱的匕首,0
D5,苏紫旭&The Paramecia,当年星,0
D5,苏紫旭&The Paramecia,混乱之子,0
D5,茄子蛋,孤独的人我们一起出发,0
D5,莫宰羊,健康快乐,0
D5,落日飞车,我是一只鱼,0
D5,落日飞车,Vanilla,0
D5,蔡旻佑/艾怡良,伎俩,0
D5,袁娅维,我爱,0
D5,袁娅维,来,0
D5,裘德,颁奖的时候我要缺席,0
D5,许廷铿,十,0
D5,谢安琪,773312,2
D5,路嘉欣,落落大方,2
D5,还潮,舟宿渡夏目漱石,0
D5,邓小巧,精神喂饲,1
D5,邓紫棋,句号,0
D5,邱比,叶柏,0
D5,邱比,柔黄,0
D5,郁可唯,路过人间,2
D5,郑宜农,千千万万,1
D5,陈家麟Whle,Pluto,0
D5,陈楚生,趋光号,0
D5,陈珊妮/吕士轩,成为一个厉害的普通人,4
D5,鬼卞,佳人,0
D5,魏如萱,Ophelia,3
D5,魏如萱,彼个所在,1
D5,魏如萱/岑宁儿,星期三或礼拜三,1
D5,鹿晗,夜的尽头,0
D5,鲁向卉,嘲笑孤单,0
D5,麦浚龙/黎明,忘记和记,0
D5,黎忘年,宝石,0
D5,3unshine,巴拉,0
D6,王嘉尔/Higher Brothers/AUGUST 08/GoldLink,Tequila Sunrise,0
D6,9m88,爱情雨,0
D6,9m88/Leo王,最高品质静悄悄(Airplane Mode),0
D6,Atta Girl,九月,3
D6,deca joins,雾,1
D6,Dusty Bottle,You Don't Know Me,0
D6,Fill Lake,"Be not afeard, the isle is full of noises",2
D6,Happy Birdy,大球滚动,0
D6,Ice Paper,鸦雀无声,0
D6,J.Sheon,输情歌,1
D6,LMF/Matt Force/Dough Boy/Future/Seanie P/Tommy/KZ/Akiko/JB/黄祸YP/Heyo,W.T.F.H.K,0
D6,Matt Force,告别,1
D6,Nerve Passeger,中环留念,3
D6,per se,庆祝无意义,0
D6,SoulFa,R.U.M.O.R.S,0
D6,イルカポリス 海豚刑警,安平之光,3
D6,丁世光,你的家,0
D6,丁世光,月食,0
D6,丁世光/叶喜儿,低潮期,0
D6,上海彩虹室内合唱团,我有一个装满星星的口袋,0
D6,不优雅,停在空中,0
D6,尹吾,我承认,0
D6,九连真人,莫欺少年穷,0
D6,五条人,匈奴王,0
D6,伍佰&China Blue,让水倒流,0
D6,佛跳墙,关你屁事,0
D6,佛跳墙,无名氏,0
D6,傻子与白痴,5:10a.m.,2
D6,傻子与白痴,夜长梦少,0
D6,傻子与白痴,象牙舟,0
D6,全家福合唱团,感恩节,0
D6,全家福合唱团,爱上福利社,0
D6,凹与山/李漫,一切好事都会发生,1
D6,刘柏辛,Manta,0
D6,卢凯彤,光,0
D6,卢凯彤,光之外,0
D6,卢凯彤,圆谎,0
D6,发光曲线,无限引擎,0
D6,发光曲线,灰烬霓虹,0
D6,发光曲线,荒野星,0
D6,右侧合流,躲猫猫,2
D6,吉克隽逸,Looking for Trouble,0
D6,吴建京,灰沙燕,0
D6,吴林峰,下一束光,0
D6,吴青峰,Outsider,0
D6,吴青峰,水仙花之死,0
D6,告五人,爱人错过,1
D6,周华健,少年,0
D6,唐汉霄/周深,末日飞船,0
D6,好妹妹,云野,1
D6,安溥 anpu,ZOEA,0
D6,宋念宇,默念你,0
D6,宝石Gem,野狼Disco,2
D6,宫阁,夕阳·日落,0
D6,家家/方大同,在家里,0
D6,巧克力工厂Chocolate Factory,大肚子飞行员,2
D6,张艺兴,honey,0
D6,方皓玟,人话,0
D6,方皓玟,愿,0
D6,无妄合作社,在围城时与你失散,0
D6,曾轶可,雌雄同体,1
D6,曾轶可,水的记忆,0
D6,李亮辰,渡河,0
D6,李靖筠,第三颗行星,0
D6,杨乃文,在爱和你之间,0
D6,杨乃文/许钧,不再,0
D6,林二汶,最后的信仰,0
D6,林俊杰,将故事写成我们,0
D6,林宥嘉,别让我走远,0
D6,梁静茹,太阳如常升起 I,0
D6,梁静茹,我好吗,0
D6,椅子乐团,城市潜水,0
D6,橘子海,夏日漱石,1
D6,法兹乐队FAZI/海朋森,你把我的脸庞转向明天,2
D6,海朋森,草莓,2
D6,灭火器,双城记,0
D6,焦迈奇,我的名字,3
D6,焦迈奇,松鼠,0
D6,爱是唯一,Darling,1
D6,爱是唯一,Sunshine,0
D6,王若琳,我只在乎你,0
D6,王诗安,太空农场,1
D6,白纸扇,东莞,0
D6,百合花,一枝草,1
D6,祁紫檀,这世上美的事物总让人心碎,0
D6,粉红A,香港香港,0
D6,自闭电台,寻找小羊,3
D6,脏手指,滥情三部曲,2
D6,苏紫旭&The Paramecia,爱的匕首,0
D6,苏紫旭&The Paramecia,当年星,0
D6,苏紫旭&The Paramecia,混乱之子,0
D6,茄子蛋,孤独的人我们一起出发,0
D6,莫宰羊,健康快乐,0
D6,落日飞车,我是一只鱼,2
D6,落日飞车,Vanilla,0
D6,蔡旻佑/艾怡良,伎俩,0
D6,袁娅维,我爱,0
D6,袁娅维,来,0
D6,裘德,颁奖的时候我要缺席,0
D6,许廷铿,十,0
D6,谢安琪,773312,0
D6,路嘉欣,落落大方,0
D6,还潮,舟宿渡夏目漱石,1
D6,邓小巧,精神喂饲,0
D6,邓紫棋,句号,0
D6,邱比,叶柏,0
D6,邱比,柔黄,0
D6,郁可唯,路过人间,0
D6,郑宜农,千千万万,0
D6,陈家麟Whle,Pluto,0
D6,陈楚生,趋光号,0
D6,陈珊妮/吕士轩,成为一个厉害的普通人,0
D6,鬼卞,佳人,0
D6,魏如萱,Ophelia,0
D6,魏如萱,彼个所在,0
D6,魏如萱/岑宁儿,星期三或礼拜三,0
D6,鹿晗,夜的尽头,0
D6,鲁向卉,嘲笑孤单,0
D6,麦浚龙/黎明,忘记和记,0
D6,黎忘年,宝石,2
D6,3unshine,巴拉,0
D7,王嘉尔/Higher Brothers/AUGUST 08/GoldLink,Tequila Sunrise,1
D7,9m88,爱情雨,0
D7,9m88/Leo王,最高品质静悄悄(Airplane Mode),0
D7,Atta Girl,九月,0
D7,deca joins,雾,0
D7,Dusty Bottle,You Don't Know Me,0
